Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,CreditScore_Band_Excellent_Credit,CreditScore_Band_Fair_Credit,CreditScore_Band_Good_Credit,CreditScore_Band_Poor_Credit,CreditScore_Band_Very_Good_Credit,Age_Band_Elderly,Age_Band_Middle_Aged,Age_Band_Senior,Age_Band_Young_Adult,Tenure_Band_Established,Tenure_Band_Loyal,Tenure_Band_New_Customer,Balance_Band_High_Balance,Balance_Band_Low_Balance,Balance_Band_Mid_Balance,Balance_Band_Zero_Balance,Salary_Band_High_Income,Salary_Band_Low_Income,Salary_Band_Mid_Income,Salary_Band_Upper_Mid_Income,Active_Status_Active,Active_Status_Inactive,CrCard_Status_Has_CrCard,CrCard_Status_No_CrCard,Products_Label_Products_1,Products_Label_Products_2,Products_Label_Products_3,Products_Label_Products_4,Churn_Status_Churned,Churn_Status_Retained
True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,True,False
False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True
True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False
True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True
False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True
False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False
True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True
False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True
True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True
True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True
False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True
True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True
True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True
False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True
False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True
False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False
False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True
False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,True
True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True
True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True
False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,True
False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True,False
True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True
True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,True
True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,True
False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True
True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True
False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True
True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True
False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,True,False
True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True
